Rank,Name,Revenues,Profits
493,Timken,4987,495.5
494,Yahoo,4986.6,3945.5
495,JetBlue Airways,4982,128
496,Old Republic International,4970.1,-68.6
497,Simon Property Group,4880.1,1434.5
498,YRC Worldwide,4850.5,-140.4
499,CA,4829,951
500,Nash-Finch,4820.8,-93.9
501,PulteGroup,4820,206.1
502,Sonoco Products,4786.1,196
503,Berry Plastics Group,4766,2
504,Coach,4763.2,1038.9
505,Momentive Specialty Chemicals,4756,324
506,Asbury Automotive Group,4753.8,82.2
507,Alleghany,4753.2,702.2
508,Flowserve,4751.3,448.3
509,Airgas,4746.3,313.4
510,KeyCorp,4742,858
511,Rockwell Collins,4726,609
512,Realogy Holdings,4672,-543
513,Tractor Supply,4664.1,276.5
514,Calumet Specialty Products,4657.3,205.7
515,Alaska Air Group,4657,316
516,Lorillard,4636,1099
517,Ralcorp Holdings,4623.2,73.4
518,Hanesbrands,4615.4,164.7
519,Alliant Techsystems,4613.4,262.6
520,Levi Strauss,4610.2,143.9
521,M&amp;T Bank Corp.,4609,1029.5
522,Hanover Insurance Group,4590.7,55.9
523,Forest Laboratories,4586,979.1
524,Superior Energy Services,4584.3,365.9
525,Energizer Holdings,4567.2,408.9
526,Harris Teeter Supermarkets,4565.7,82.5
527,First American Financial,4541.8,301
528,Wyndham Worldwide,4534,400
529,Abercrombie &amp; Fitch,4510.8,237
530,Resolute Forest Products,4503,-2
531,Discovery Communications,4487,943
532,Fiserv,4482,611
533,Harbinger Group,4480.7,89.6
534,Zimmer Holdings,4471.7,755
535,Noble Energy,4431,1027
536,Meritor,4420,52
537,Oil States International,4413.1,448.6
538,Aleris,4412.4,107.5
539,Michaels Stores,4408,214
540,Adobe Systems,4403.7,832.8
541,FM Global,4396.1,774.4
542,Juniper Networks,4365.4,186.5
543,Harman Intl. Industries,4364.1,329.5
544,Buckeye Partners,4357.2,226.4
545,D.R. Horton,4354,956.3
546,Northern Tier Energy,4353.8,197.6
547,Neiman Marcus,4345.4,140.1
548,CNO Financial Group,4342.7,221
549,Graphic Packaging Holding,4337.1,122.6
550,SunGard Data Systems,4318,-66
551,ABM Industries,4300.3,62.6
552,Amphenol,4292.1,555.3
553,Nvidia,4280.2,562.5
554,Apollo Group,4277.5,422.7
555,Greif,4269.5,126.1
556,RadioShack,4257.8,-139.4
557,Wisconsin Energy,4246.4,546.3
558,Intuit,4227,792
559,Integrys Energy Group,4222.5,281.4
560,Cooper Tire &amp; Rubber,4200.8,220.4
561,Northern Trust Corp.,4193.5,687.3
562,Eastman Kodak,4185,-1379
563,SCANA,4176,420
564,Arch Coal,4159,-684
565,Electronic Arts,4143,76
566,VWR Funding,4129.4,3.8
567,Quad/Graphics,4126.2,87.4
568,LKQ,4122.9,261.2
569,United Rentals,4117,75
570,Tutor Perini,4111.5,-265.4
571,Robert Half International,4111.2,209.9
572,Cincinnati Financial,4111,421
573,Lennar,4104.7,679.1
574,Cintas,4102,297.6
575,Hospira,4092.1,44.2
576,Hasbro,4089,336
577,Burlington Coat Factory,4081.5,15.2
578,MDU Resources Group,4075.4,-0.8
579,Genesis Energy,4070.1,96.3
580,Washington Post,4053,132.1
581,Delta Tucker Holdings,4044.3,-8.9
582,Williams-Sonoma,4042.9,256.7
583,Expedia,4030.3,280.2
584,Valspar,4020.9,292.5
585,Blackstone Group,4019.4,218.6
586,LifePoint Hospitals,4016.2,151.9
587,Nexeo Solutions Holdings,4014.6,-3.6
588,McCormick,4014.2,407.8
589,CIT Group,4006.8,-592.3
590,Bloomin' Brands,3987.8,50
591,Manitowoc,3959.6,101.7
592,Belk,3956.9,188.4
593,Hyatt Hotels,3949,88
594,Brink's,3946.5,88.9
595,Trinity Industries,3933.3,255.2
596,Jones Lang LaSalle,3932.8,208.1
597,AGL Resources,3922,271
598,Molson Coors Brewing,3916.5,443
599,Colfax,3913.9,-64.4
600,Mead Johnson Nutrition,3901.3,604.5
601,Raymond James Financial,3897.9,295.9
602,Roundy's,3890.5,-69.2
603,Stater Bros. Holdings,3873.2,37.7
604,Jefferies Group,3871.2,282.4
605,Green Mountain Coffee Roasters,3859.2,362.6
606,MasTec,3805.8,107.4
607,Life Technologies,3798.5,430.9
608,Jones Group,3798.1,-56.1
609,Lexmark International,3797.6,106.3
610,Unified Grocers,3796.3,2
611,Tiffany,3794.2,416.2
612,Xylem,3791,297
613,RPM International,3777.4,215.9
614,CACI International,3774.5,167.5
615,Brunswick,3773.8,50
616,NYSE Euronext,3749,348
617,FMC,3748.3,416.2
618,Team Health Holdings,3738.7,63.8
619,Leggett &amp; Platt,3720.8,248.2
620,Ingles Markets,3709.4,43.4
621,Unisys,3706.4,145.6
622,CareFusion,3693,293
623,Del Monte,3676.2,32.6
624,OGE Energy,3671.2,355
625,LPL Financial Holdings,3661.1,151.9
626,Alliance Data Systems,3641.4,422.3
627,Carlisle,3629.4,270.2
628,Protective Life,3623,302.5
629,Netflix,3609.3,17.2
630,Fortune Brands Home &amp; Security,3591.1,118.7
631,Torchmark,3589.5,529.3
632,Silgan Holdings,3588.3,151.3
633,Westlake Chemical,3571,385.6
634,Atmos Energy,3553.2,216.7
635,Systemax,3544.6,-8.3
636,Patterson,3535.7,212.8
637,SkyWest,3534.4,51.2
638,Sally Beauty Holdings,3523.6,233.1
639,Securian Financial Group,3521.1,252.3
640,Rockwood Holdings,3506.9,383.5
641,United Refining,3505.3,190.8
642,American Eagle Outfitters,3495.9,232.1
643,Swift Transportation,3493.2,114.6
644,Molex,3489.2,281.4
645,Green Plains Renewable Energy,3476.9,11.8
646,PHH,3457,34
647,American Tire Distributors Holdings,3455.9,-14.3
648,Watsco,3431.7,103.3
649,Towers Watson,3417.7,260.2
650,Triumph Group,3408.2,280.9
651,Adams Resources &amp; Energy,3406.7,27.8
652,Sirius XM Radio,3402,3472.7
653,Lithia Motors,3398.6,80.4
